"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:43+03:00
[ТД] СТАРТ Яскина

metric,value
150728506,Network connection
123536775,RegistryEvent (Value Set)
103521242,A network share object was checked to see whether client can be granted desired access
92625741,RegistryEvent (Object create and delete)
27833083,An account was successfully logged on.
24483165,An account was logged off.
16325976,Credential Manager credentials were read.
13328288,PipeEvent (Pipe Connected)
13028460,Error
10895704,FileCreate
10808370,Process creation
9067273,
5161320,A handle to an object was requested.
4404996,DNSEvent (DNS query)
4234233,Special privileges assigned to new logon.
3680837,PipeEvent (Pipe Created)
3526228,Cryptographic operation.
3525888,Key file operation.
2034559,The Password Policy Checking API was called.
1898239,Provider Lifecycle
1806813,The handle to an object was closed.
1744115,Key migration operation.
1238986,Image loaded
986196,A logon was attempted using explicit credentials.
872144,An attempt was made to duplicate a handle to an object.
577771,Engine Lifecycle
479717,Поиск вредоносного ПО
406662,RawAccessRead
390046,Process terminated
382647,A new process has been created.
316604,A process has exited.
256386,A network share object was accessed
200685,A security-enabled local group membership was enumerated.
180137,Конфигурация
149600,Контроль устройств
127325,CreateRemoteThread
117866,Обновление
100424,The Federation Service stopped successfully
79357,Group membership information.
75110,Driver loaded
62794,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
56756,Помощники
48785,Общие
46208,ProcessTampering (Process image change)
45761,An attempt was made to access an object.
37153,Permissions on an object were changed.
36029,События сбоев приложения
35365,FileCreateStreamHash
31520,ServiceConfigurationChange
27317,A Windows Filtering Platform filter has been changed.
24049,ServiceDiscovery
23273,A user's local group membership was enumerated.
22755,Ведение журнала и восстановление
20043,Событие состояния службы
15773,Защита
15303,A scheduled task was updated.
13119,An attempt was made to query the existence of a blank password for an account.
12014,An operation was performed on an object.
10939,Помощник по подбору людей
10565,A rule was listed when the Windows Firewall started.
10294,The Windows Filtering Platform has blocked a connection.
10054,FileDeleteDetected (File Delete logged)
8964,Vault credentials were read.
8790,Login failed for user
8408,Auditing settings on object were changed.
7631,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
7421,Защита от файловых угроз
7386,The system time was changed.
7036,Ведение журнала/Восстановление
6807,An account failed to log on.
6734,ClipboardChange (New content in the clipboard)
5619,Служба поиска
5593,Загрузка обновлений в хранилище
5535,A change has been made to Windows Firewall exception list. A rule was deleted.
5476,A change has been made to Windows Firewall exception list. A rule was added.
5068,A process changed a file creation time
4729,Поиск уязвимостей и требуемых обновлений
4618,User initiated logoff
4595,FileBlockExecutable
4524,WmiEvent (WmiEventConsumer activity detected)
4499,Топология
4347,The process has initiated the power off of computer on behalf of user for the following reason
4227,Защита от сетевых угроз
4089,Сервер
4060,A new service was installed in the system
4023,Контроль приложений
4022,Защита от эксплойтов
4022,Анализ поведения
3993,Сетевой экран
3977,Защита от веб-угроз
3951,A Windows Filtering Platform callout has been changed.
3938,Защита от почтовых угроз
3935,Предотвращение вторжений
3920,Адаптивный контроль аномалий
3919,Веб-Контроль
3918,The operating system started at system time
3763,The Per-user audit policy table was created.
3718,The Windows Firewall Driver has started successfully.
3718,The Windows Firewall Service has started successfully.
3701,Windows is starting up.
3269,LMS
3145,Инвентаризация
2847,Starting up database
2825,Sysmon service state changed
2688,A new external device was recognized by the system.
2639,The system is entering sleep
2601,Code integrity determined that the image hash of a file is not valid
2535,The system has resumed from sleep
2451,The state of a transaction has changed.
2318,RegistryEvent (Key and Value Rename)
2306,Автоматическая установка - Kaspersky Endpoint Security для Windows (12.8.0)
2259,Boot Configuration Data loaded.
2230,A primary token was assigned to process.
2214,The kernel power manager has initiated a shutdown transition
2127,AMSI-защита
1906,The event logging service has shut down
1851,Installation or update of device drivers.
1721,ADNotifications
1679,%1
1618,Database backed up
1576,An attempt was made to create a hard link.
1544,A cryptographic self test was performed.
1494,A member was added to a security-enabled local group.
1406,A member was removed from a security-enabled local group.
1170,Установка или обновление драйверов устройств.
1098,Расширение
1096,Средство сбора данных
1007,Установка драйвера
1002,Миграция драйвера
995,An attempt was made to register a security event source.
969,An attempt was made to unregister a security event source.
895,Запросы
827,The screen saver was invoked.
827,The screen saver was dismissed.
725,A user account was changed.
632,Windows Firewall did not apply the following rule
622,Резервное копирование
542,Маршрутизация
541,A handle to an object was requested with intent to delete.
518,Поиск вредоносного ПО Серверы
483,Теневое копирование
437,Log was backed up
417,Агент Центра обновления Windows
401,The domain controller attempted to validate the credentials for an account.
399,Recovery is writing a checkpoint in database
381,A Windows Filtering Platform sub-layer has been changed.
360,ShadowCopy
320,Модуль записи VSS Exchange
302,A network share object was added.
298,Поиск уязвимостей и требуемых обновлений Серверы
290,An attempt was made to reset an account's password.
285,A Windows Filtering Platform provider has been changed.
282,UMCore
259,Transactions rolled back in database
258,Transactions rolled forward in database
246,События диагностики исчерпания ресурсов
237,Startup of the UMDF reflector
233,Logon Cache
227,FileExecutableDetected
216,A network share object was modified.
195,Инвентаризация Серверы
184,The workstation was locked.
183,The event logging service encountered an error while processing an incoming event published from %1
181,The workstation was unlocked.
179,R281_02_Установка нового сервиса из общедоступной директории
177,R281_01_Установка сервиса не из системной директории
176,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
160,This instance of SQL Server has been using a process ID
145,A Windows Filtering Platform provider context has been changed.
140,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
139,A registry value was modified.
138,Помощник по созданию автономной адресной книги
131,An object was deleted.
121,R288_02_Исполнение файла с неисполняемым расширением
116,Server is listening
114,Оперативная дефрагментация
114,TM
96,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.
96,R280_Изменение параметров сервиса Windows
96,R280_02_Изменение параметров сервиса Windows - учетная запись (sc)
95,R224_14_Обнаружение активностей разведки на Windows
82,Setting database option
81,Execute extended stored procedure
81,A rule has been ignored by Windows Firewall because it could not parse the rule.
81,Attempting to load library into memory
64,R423_02_Компиляция с помощью csc.exe из подозрительной директории
61,R291_03_Вызов внешних ресурсов для системных приложений Windows (runll32)
60,A scheduled task was enabled.
60,A scheduled task was disabled.
58,SVC
56,Service endpoint is in disabled or stopped state
56,Windows Firewall has changed the active profile.
55,R293_01_Аномальное дерево процессов для Windows
54,Кэш входов
54,Server local connection provider is ready to accept connection
54,R423_Подозрительный процесс компиляции файла
48,R224_Сбор информации о системе
48,Запуск отражателя UMDF
48,Configuration option changed
47,Рассылка отчетов
46,Подсказки
46,Представление
45,R296_11_Установка пакетов через msiexec в тихом режиме
44,R224_08_Сбор информации о системе стандартными средствами Windows
44,MALWAREPROTECTION_SCAN_COMPLETED
40,Windows Firewall Group Policy settings has changed. The new settings have been applied.
40,The following policy was active when the Windows Firewall started.
36,A security-enabled local group was created.
36,A security-enabled local group was changed.
36,R053_Создание группы на Windows системе подозрительным пользователем
36,R055_Изменение группы в ОС Windows подозрительным пользователем
33,WmiEvent (WmiEventFilter activity detected)
33,Node configuration
30,Domain Policy was changed.
28,Server name
28,System Manufacturer and System Model Information
28,Recovery is complete
28,Microsoft Corporation
28,Dedicated admin connection support was established
28,All rights reserved
28,Service Broker manager has started
28,Using dynamic lock allocation
28,SQL Server is now ready for client connections
28,SQL Trace was started
28,SQL Server is starting
28,The resource database build version
28,Microsoft SQL Server 2012 (SP1)
28,This instance of SQL Server last reported using a process ID
28,Server process ID
28,Clearing tempdb database
28,SQL Server detected sockets
28,Common language runtime (CLR) functionality initialized using CLR
28,Registry startup parameters
28,Authentication mode
28,Logging SQL Server messages
26,A self-generated certificate was successfully loaded for encryption
26,A scheduled task was created.
26,Быстродействие
23,A scheduled task was deleted.
23,Помощник для управляемых папок
23,File system access
23,Резервное копирование данных Сервера администрирования
21,Security policy in the group policy objects has been applied successfully.
21,"R283_01_Выполнение кода через приложения, использующие Chromium"
20,FileDelete (File Delete archived)
19,R051_Учетная запись была добавлена в группу подозрительным пользователем
19,SQL Server is terminating because of a system shutdown
17,UNS
16,R296_04_Подозрительные аргументы при запуске Msiexec.exe
16,Pipeline Execution Details

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:43+03:00
[ТД] СТАРТ Яскина

No Data

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:43+03:00
[ТД] СТАРТ Яскина

userName,name,correlationRuleName,priority,severity,tenantID,firstSeen,status,id,tenantName
,R224_Сбор информации о системе,R224_Сбор информации о системе,1,Low,6e7b6a90-f882-4fe8-8cae-08f04b90bff9,2025-04-08T05:38:58+03:00,New,6aa4e61c-9525-4dba-9b75-1119285b6d40,[ТД] СТАРТ Яскина
Александра Зейферт,R063_Добавление учетной записи в группу доменных или локальных администраторов,R063_Добавление учетной записи в группу доменных или локальных администраторов,3,High,6e7b6a90-f882-4fe8-8cae-08f04b90bff9,2025-04-02T13:20:39+03:00,In progress,780b5281-0a64-49fd-8432-1de8547d59d2,[ТД] СТАРТ Яскина

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:43+03:00
[ТД] СТАРТ Яскина

No Data

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:43+03:00
[ТД] СТАРТ Яскина

No Data

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:43+03:00
[ТД] СТАРТ Яскина

metric,value
3,R077_Обнаружено вредоносное ПО
2,R280_Изменение параметров сервиса Windows
1,R054_Удаление группы в ОС Windows подозрительным пользователем
1,R240_Манипуляции с локальным межсетевым экраном
1,R296_Подозрительные аргументы при запуске системной утилиты
1,R063_Добавление учетной записи в группу доменных или локальных администраторов
1,R419_Манипуляции с сертификатами
1,R089_Обнаружены возможные следы действий программ-вымогателей
1,R224_Сбор информации о системе
1,R060_Большое количество манипуляций с группами за короткий промежуток времени

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:43+03:00
[ТД] СТАРТ Яскина

metric,value
11,Closed
1,In progress
1,New

