Последние 10 алертов									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
status	name	firstSeen	severity	priority	id	tenantID	correlationRuleName	userName	tenantName
New	R102_Доступ к WinAPI	2025-04-24T12:49:06+03:00	Low	1	715eb4bf-180e-41a4-a608-5d8e80595b61	f0ea39c6-e908-4015-9233-7979262a2368	R102_Доступ к WinAPI		[ТД] Авиаагрегат
New	R054_Удаление группы в ОС Windows подозрительным пользователем	2025-04-22T16:39:26+03:00	Low	1	f1b625f6-55af-4a68-a486-b722dd7764e0	f0ea39c6-e908-4015-9233-7979262a2368	R054_Удаление группы в ОС Windows подозрительным пользователем		[ТД] Авиаагрегат
New	R406_Получение учетных данных через GUI-запросы	2025-04-21T22:14:56+03:00	Medium	2	96afa98f-91dc-4503-8747-9b3058dd6625	f0ea39c6-e908-4015-9233-7979262a2368	R406_Получение учетных данных через GUI-запросы		[ТД] Авиаагрегат
New	R055_Изменение группы в ОС Windows подозрительным пользователем	2025-04-18T15:09:30+03:00	Low	1	0b06ba4c-8a2a-4a0e-8604-e84d74b71add	f0ea39c6-e908-4015-9233-7979262a2368	R055_Изменение группы в ОС Windows подозрительным пользователем		[ТД] Авиаагрегат
New	R110_Использование подозрительных опций в командах PowerShell	2025-04-18T14:37:31+03:00	Medium	2	f144647a-f420-4301-959e-86a38e7bb3d7	f0ea39c6-e908-4015-9233-7979262a2368	R110_Использование подозрительных опций в командах PowerShell		[ТД] Авиаагрегат
New	R222_Сбор информации о сетевых папках	2025-04-02T11:25:41+03:00	Low	1	6d4cba7c-2b8b-468a-89ee-d00e446b9d5c	f0ea39c6-e908-4015-9233-7979262a2368	R222_Сбор информации о сетевых папках		[ТД] Авиаагрегат
									
Затронутые активы									
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:15+03:00									
[ТД] Авиаагрегат									
									
displayName	criticality	frequency	tenantID	tenantName	id				
AA_1000051	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	a3d00bf7-76de-428d-a36f-25ad0f18cb46				
AA_702134	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	cb366d9f-c3c6-4c87-9bc8-49b673a9f617				
AA_702387	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	e9d058f4-ff0a-4b48-9423-d54846b8a8b3				
AA_702497	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	ed06678d-1ffc-49fc-b688-61cbed5b35e5				
AA_702529	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	1142670b-1040-4c93-b36f-9cb91d8e420a				
AA_702746	1	2	f0ea39c6-e908-4015-9233-7979262a2368	[ТД] Авиаагрегат	113c3ca7-24a3-4f58-bf6e-856d53b386cd				
